True,True,,,
0.977558,0.944927,0.968690,-1,
0.963073,0.914325,0.986335,-1,
0.986619,0.917352,0.963878,-1,
0.937452,0.727387,0.914386,-1,
0.999568,0.906177,0.905358,-1,
0.949100,0.978725,0.974357,-1,
0.969434,0.962316,0.962123,-1,
0.958108,0.924432,0.989368,-1,
0.925894,0.912327,0.970466,-1,
0.957620,0.958088,0.974036,-1,
0.950702,0.827912,0.922551,-1,
0.988068,0.961373,0.985043,-1,
0.965996,0.938435,0.969350,-1,
0.964891,0.964481,0.955119,-1,
0.952078,0.932917,0.973994,-1,
0.938798,0.965994,0.963598,-1,
0.912174,0.902294,0.965736,-1,
0.954491,0.815490,0.910022,-1,
0.928064,0.939707,0.873845,-1,
0.840420,0.883175,0.963264,-1,
0.938235,0.994888,0.989659,-1,
0.910546,0.935314,0.879635,-1,
0.946510,0.928676,0.955636,-1,
0.900708,0.941352,0.890686,-1,
0.932717,0.982576,0.981389,-1,
0.970082,0.895210,0.964557,-1,
0.956197,0.923842,0.866290,-1,
0.971847,0.959898,0.994282,-1,
0.815678,0.962756,0.922771,-1,
0.941414,0.593481,0.918040,-1,
0.983107,0.954055,0.980272,-1,
0.966257,0.887188,0.979311,-1,
0.955235,0.927608,0.987144,-1,
0.949222,0.928952,0.989146,-1,
0.971912,0.897576,0.993728,-1,
0.969890,0.597674,0.927989,-1,
0.988239,0.946689,0.917129,-1,
0.920244,0.746386,0.945449,-1,
0.932268,0.950136,0.937290,-1,
0.963244,0.979399,0.987735,-1,
0.951712,0.964261,0.974261,-1,
0.893284,0.960697,0.981112,-1,
0.972767,0.888089,0.918432,-1,
0.917093,0.906032,0.981016,-1,
0.965401,0.948167,0.944217,-1,
0.950694,0.954074,0.993849,-1,
0.978368,0.981974,0.997441,-1,
0.949906,0.929636,0.932305,-1,
0.981487,0.962595,0.962975,-1,
0.985229,0.945961,0.949436,-1,
0.910348,0.910983,0.942762,-1,
0.883268,0.988164,0.988014,-1,
0.939481,0.985247,0.986033,-1,
0.971928,0.935828,0.968110,-1,
0.940578,0.885347,0.853553,-1,
0.947687,0.901524,0.958416,-1,
0.959556,0.923174,0.979451,-1,
0.960704,0.942434,0.980632,-1,
0.932631,0.937817,0.946533,-1,
0.974315,0.860190,0.947840,-1,
0.967086,0.981125,0.973518,-1,
0.957374,0.866616,0.919999,-1,
0.930432,0.984733,0.968164,-1,
0.896812,0.706606,0.873849,-1,
0.969176,0.916779,0.962617,-1,
0.930539,0.825657,0.949436,-1,
0.971708,0.824841,0.946898,-1,
0.976804,0.972811,0.990793,-1,
0.983495,0.990936,0.981119,-1,
0.876092,0.871852,0.920276,-1,
0.877711,0.708784,0.891858,-1,
0.951592,0.924717,0.986786,-1,
0.964202,0.986201,0.992815,-1,
0.911969,0.843469,0.912833,-1,
0.979865,0.962151,0.977199,-1,
0.877095,0.794268,0.841422,-1,
0.941720,0.750161,0.952944,-1,
0.906054,0.966672,0.984327,-1,
0.969331,0.773773,0.870403,-1,
0.964074,0.967515,0.994467,-1,
0.889916,0.672589,0.850736,-1,
0.950238,0.948452,0.970038,-1,
0.967900,0.967255,0.995210,-1,
0.955109,0.756481,0.969269,-1,
0.956361,0.899038,0.980101,-1,
0.956088,0.935601,0.979621,-1,
0.884377,0.891220,0.942986,-1,
0.950375,0.849501,0.935042,-1,
0.936482,0.947983,0.967045,-1,
0.965553,0.997316,0.994280,-1,
0.928378,0.918618,0.965042,-1,
0.914051,0.932941,0.977339,-1,
0.827793,0.957370,0.971907,-1,
0.904831,0.967889,0.942753,-1,
0.924521,0.968138,0.956429,-1,
0.959035,0.889772,0.926064,-1,
0.948463,0.988482,0.983535,-1,
0.758192,0.833011,0.938869,-1,
0.982098,0.978871,0.992901,-1,
0.983064,0.841356,0.922952,-1,
0.964144,0.991674,0.984799,-1,
0.929984,0.930552,0.914181,-1,
0.962073,0.953239,0.987464,-1,
0.943349,0.753443,0.910841,-1,
0.935041,0.804648,0.917623,-1,
0.946182,0.858381,0.944473,-1,
0.937799,0.841955,0.975432,-1,
0.881942,0.915229,0.926509,-1,
0.703645,0.793249,0.938360,-1,
0.886856,0.850507,0.955335,-1,
0.793272,0.928392,0.951316,-1,
0.964633,0.820585,0.948577,-1,
0.969993,0.721508,0.892270,-1,
0.901146,0.952292,0.986443,-1,
0.912572,0.972049,0.977020,-1,
0.949987,0.987471,0.992329,-1,
0.907492,0.904175,0.941839,-1,
0.958022,0.890201,0.943002,-1,
0.954382,0.961126,0.960835,-1,
0.942227,0.932778,0.958166,-1,
0.941849,0.884865,0.988796,-1,
0.978192,0.877941,0.918459,-1,
0.864313,0.906896,0.950176,-1,
0.922571,0.782526,0.977241,-1,
0.930722,0.938712,0.971566,-1,
0.933185,0.714786,0.929162,-1,
0.959404,0.987251,0.982801,-1,
0.945547,0.965706,0.983137,-1,
0.942640,0.934744,0.963519,-1,
0.967421,0.874377,0.902259,-1,
0.900711,0.995124,0.992786,-1,
0.982712,0.928360,0.917702,-1,
0.896930,0.906568,0.922683,-1,
0.922575,0.965903,0.969876,-1,
0.940057,0.938761,0.991630,-1,
0.955491,0.974152,0.970799,-1,
0.937415,0.990816,0.994106,-1,
0.951047,0.948307,0.937714,-1,
0.895648,0.977796,0.994045,-1,
0.947667,0.926986,0.921986,-1,
0.909821,0.963899,0.963422,-1,
0.970169,0.963945,0.989094,-1,
0.914386,0.946550,0.968645,-1,
0.931605,0.991610,0.989597,-1,
0.972954,0.979667,0.973228,-1,
0.966809,0.933520,0.982537,-1,
0.956351,0.919752,0.948231,-1,
0.986401,0.953229,0.962920,-1,
0.971417,0.925910,0.844801,-1,
0.935190,0.916098,0.947370,-1,
0.967160,0.977269,0.982588,-1,
0.945376,0.909791,0.930424,-1,
0.947257,0.951409,0.983420,-1,
0.965285,0.944367,0.991678,-1,
0.964484,0.926959,0.955510,-1,
0.953067,0.850392,0.930532,-1,
0.952435,0.839958,0.952990,-1,
0.836926,0.977005,0.968533,-1,
0.967682,0.945359,0.978643,-1,
0.921508,0.980348,0.988526,-1,
0.960576,0.721295,0.926632,-1,
0.947494,0.975989,0.987840,-1,
0.972868,0.983804,0.993492,-1,
0.959391,0.919035,0.927895,-1,
0.969558,0.977731,0.994228,-1,
0.934476,0.927500,0.970128,-1,
0.964583,0.907609,0.947718,-1,
0.978499,0.960103,0.959507,-1,
0.966310,0.914369,0.933904,-1,
0.975735,0.878884,0.954395,-1,
0.958128,0.727910,0.855844,-1,
0.981256,0.877963,0.933898,-1,
0.777750,0.862477,0.923272,-1,
0.919747,0.990290,0.978165,-1,
0.969533,0.981963,0.975859,-1,
0.947195,0.909254,0.975652,-1,
0.928389,0.953310,0.959607,-1,
0.936966,0.889408,0.926668,-1,
0.964158,0.936697,0.872261,-1,
0.960398,0.955968,0.924263,-1,
0.970214,0.991848,0.996345,-1,
0.972066,0.969436,0.975422,-1,
0.941610,0.989524,0.981244,-1,
0.963583,0.929761,0.981152,-1,
0.888350,0.896126,0.912390,-1,
0.936639,0.958625,0.988760,-1,
0.872553,0.936020,0.953326,-1,
0.840860,0.923900,0.962543,-1,
0.894740,0.946141,0.930906,-1,
0.944476,0.967321,0.975942,-1,
0.850568,0.872201,0.936877,-1,
0.942084,0.920266,0.960063,-1,
0.975653,0.869921,0.959314,-1,
0.876639,0.927823,0.972422,-1,
0.967963,0.973751,0.973202,-1,
0.908361,0.916257,0.973168,-1,
0.982636,0.973371,0.980075,-1,
0.974714,0.939345,0.963209,-1,
0.786804,0.978182,0.979660,-1,
0.968818,0.901250,0.929606,-1,
