True,True,,,
0.958351,0.975921,0.989580,-1,
0.955535,0.979104,0.996931,-1,
0.955219,0.982401,0.989835,-1,
0.944956,0.959796,0.979233,-1,
0.781148,0.949327,0.973515,-1,
0.956577,0.976647,0.991349,-1,
0.751064,0.972833,0.995772,-1,
0.811708,0.888718,0.968815,-1,
0.983861,0.991305,0.996054,-1,
0.972461,0.978809,0.991936,-1,
0.970476,0.993816,0.995457,-1,
0.963968,0.984544,0.991775,-1,
0.929487,0.943223,0.963538,-1,
0.959500,0.993178,0.994418,-1,
0.967501,0.993867,0.994821,-1,
0.932934,0.985349,0.996257,-1,
0.932161,0.982862,0.992616,-1,
0.980432,0.987913,0.994901,-1,
0.860683,0.958176,0.985528,-1,
0.942792,0.975823,0.998907,-1,
0.975968,0.990173,0.998576,-1,
0.947321,0.950859,0.982600,-1,
0.982292,0.974349,0.985313,-1,
0.966326,0.966481,0.995630,-1,
0.973373,0.989223,0.994352,-1,
0.983947,0.986761,0.986170,-1,
0.918202,0.977100,0.995211,-1,
0.990729,0.990707,0.996778,-1,
0.943883,0.984420,0.997262,-1,
0.872932,0.981102,0.976081,-1,
0.953824,0.992787,0.996017,-1,
0.917550,0.983700,0.995662,-1,
0.950117,0.987169,0.997612,-1,
0.978755,0.988712,0.990294,-1,
0.963566,0.992631,0.998779,-1,
0.830128,0.991663,0.996772,-1,
0.972396,0.958749,0.975132,-1,
0.967312,0.944250,0.974527,-1,
0.936204,0.977278,0.978907,-1,
0.945095,0.988554,0.996870,-1,
0.938113,0.947381,0.933509,-1,
0.957804,0.983222,0.997993,-1,
0.982874,0.982349,0.986767,-1,
0.928872,0.995167,0.994336,-1,
0.936833,0.985038,0.991742,-1,
0.985764,0.985611,0.993130,-1,
0.962669,0.984003,0.995073,-1,
0.977743,0.983443,0.993097,-1,
0.981212,0.979692,0.992983,-1,
0.964602,0.972712,0.965375,-1,
0.949062,0.962453,0.987914,-1,
0.982152,0.987052,0.997113,-1,
0.985376,0.970457,0.986244,-1,
0.973827,0.988020,0.992559,-1,
0.977411,0.984285,0.994193,-1,
0.960939,0.990005,0.996447,-1,
0.962121,0.971876,0.994776,-1,
0.982145,0.968592,0.989671,-1,
0.894644,0.933122,0.957123,-1,
0.978387,0.985889,0.993531,-1,
0.943572,0.982647,0.988435,-1,
0.974654,0.983648,0.993896,-1,
0.974836,0.995954,0.994306,-1,
0.977452,0.992114,0.996832,-1,
0.964782,0.991833,0.997388,-1,
0.975024,0.980679,0.997933,-1,
0.946347,0.984660,0.993458,-1,
0.977262,0.968458,0.987361,-1,
0.984931,0.990377,0.994675,-1,
0.959497,0.962488,0.986652,-1,
0.967499,0.955259,0.987454,-1,
0.962812,0.972354,0.991762,-1,
0.991350,0.985749,0.987013,-1,
0.984809,0.989115,0.986593,-1,
0.879558,0.954118,0.944196,-1,
0.941989,0.995526,0.998540,-1,
0.963923,0.991734,0.987760,-1,
0.969284,0.964758,0.990929,-1,
0.944458,0.970919,0.986217,-1,
0.922459,0.931104,0.917149,-1,
0.988423,0.994554,0.997705,-1,
0.985124,0.992027,0.993448,-1,
0.981971,0.994783,0.998176,-1,
0.976557,0.953868,0.979555,-1,
0.955491,0.980408,0.996403,-1,
0.958690,0.976683,0.991399,-1,
0.920577,0.986380,0.991656,-1,
0.960760,0.977472,0.977544,-1,
0.965209,0.992107,0.996516,-1,
0.929731,0.976310,0.960657,-1,
0.958681,0.990843,0.993948,-1,
0.977357,0.980172,0.978955,-1,
0.889571,0.966267,0.983231,-1,
0.943515,0.988573,0.994502,-1,
0.923958,0.967634,0.940188,-1,
0.948117,0.987163,0.984323,-1,
0.981162,0.993984,0.996107,-1,
0.976669,0.955035,0.976610,-1,
0.979470,0.984367,0.996864,-1,
